cleared_lines,holes,bumpiness,max_height,check_pillar,reward
0.9943696218777376,0.865114718677318,-0.7437511041412865,0.9980810306482899,-0.5278220460960478,111.0
-0.20683854540794755,-0.22417851767598496,0.3394920736069602,0.8710781416120641,0.6926218333720346,120.5
-0.37345296613544965,0.04909631914574297,-0.11309421244088647,-0.5408455725403488,0.06882781789403425,542.5
0.8279240491584663,-0.08559038402602326,-0.13860286563058288,0.8782555788472519,0.5567784726730673,199.5
0.4319410319367287,0.6055150078747302,-0.8143983827185242,0.036305097883778226,0.7300405039579672,279.0
0.6582938147342836,0.6592067187883677,-0.45390005156650515,-0.8815135973968731,0.34105608013789124,329.5
0.18613103659611396,0.3433081948442689,-0.17642424206189378,-0.6048982040304375,-0.42074071890837506,358.0
-0.7157597290500861,0.5666289453897728,-0.17492231699394756,-0.9316573776283219,0.24805997295470683,311.5
0.3212714604760061,-0.4030094104939105,-0.10773098782778767,-0.5557509049292503,-0.8532716565148009,5756.5
-0.061522947123713534,-0.8076554791090766,0.8067403329577352,-0.7610190640385663,0.04959875374089129,173.5
-0.8327539909059476,0.8337226690594575,0.8208967635862034,-0.4021397755805677,0.16877824147585851,100.0
0.13182405492838645,0.22787663559211158,0.9130713133410449,-0.47804204076888623,-0.5379691555748219,172.5
0.06689698121035081,0.8998762770652797,-0.013880812910507911,0.08120101764728815,0.5309702088817423,119.0
-0.9093085428506935,-0.7200677616165712,0.5848071715920387,-0.9403972836352135,0.7662509516388467,188.5
0.0815763792019295,-0.10403963715916342,0.7842717440037625,-0.24483131769781052,0.07684938855997037,171.0
0.3045977641270845,-0.2774779595767579,0.14201712237018516,0.27567296811935305,-0.7473702299102234,143.5
0.3804091755102905,0.29549879954669533,-0.292121822403396,0.5264661054302442,-0.28693655288389,120.5
0.5055767063512089,0.7626836592680226,-0.9766616126382128,-0.0037818607435267104,-0.8524159771986908,271.5
0.5739029489381504,-0.8718653403235654,-0.28937927516714324,0.8836738975068454,-0.24039342646260575,150.0
0.5258401468899778,0.5431899960887359,-0.3972790091802131,0.5454782935551545,-0.6941403548919425,120.0
0.8078540648388683,-0.505527190707882,-0.10912177885423668,0.26165554606256247,-0.9226477076618371,157.5
0.40673944034015874,-0.4373044600290986,-0.018991621728968622,-0.5550092593391018,0.14119404597292795,3591.0
0.43220348592254454,-0.3959245389178637,-0.34792100420737326,-0.6373355200705431,-1.0,5006.5
0.14924219930577998,-0.43963366847483676,-0.35411209719501513,-0.5248270617500301,-1.0,5095.5
-0.33122945497522105,-0.33774687678698967,1.0,-0.513106744767464,-1.0,184.0
0.5427834641249809,-0.4780968928837783,-0.09981996992474051,-0.5823246621125264,-1.0,4239.0
-0.8617511740275543,-0.3267034181836407,-0.3235144437102837,-0.4895143312409759,-1.0,3779.5
1.0,-0.4805086838865842,-0.6141288358117458,-0.6452704750404901,-1.0,1880.0
0.12903195354836172,-0.37268189205186364,-0.15799700991341992,-0.5594430989720196,-0.9360983001580433,4933.0
-0.08605305774044614,-0.4493133223074558,-0.2286960361393603,-0.7420978733738985,-1.0,6000.0
-0.0492209993982502,-0.48408426299748164,-0.2439768058578493,-0.8802578395377245,-1.0,5538.5
